id,name,rb_strategy,filename,icon_description,full_prompt
1,The Captain,BPA,001_the_captain.png,a navy captain's peaked hat with a gold anchor emblem on the front,"Create a single icon image: a navy captain's peaked hat with a gold anchor emblem on the front. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
2,The Opportunist,BPA,002_the_opportunist.png,an open hand catching a falling gold coin mid-air,"Create a single icon image: an open hand catching a falling gold coin mid-air. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
3,The Value GM,BPA,003_the_value_gm.png,a clipboard with a star-rated player evaluation sheet,"Create a single icon image: a clipboard with a star-rated player evaluation sheet. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
4,The Calculated Risk,BPA,004_the_calculated_risk.png,a set of old-fashioned balance scales with one side slightly lower,"Create a single icon image: a set of old-fashioned balance scales with one side slightly lower. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
289,The Cold Calculation,Zero RB,289_the_cold_calculation.png,a calculator display showing an ice-cold equation result,"Create a single icon image: a calculator display showing an ice-cold equation result. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
5,The Free Agent,BPA,005_the_free_agent.png,a player silhouette breaking free from a contract document,"Create a single icon image: a player silhouette breaking free from a contract document. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
6,The Computer,BPA,006_the_computer.png,a retro desktop computer with a glowing green screen,"Create a single icon image: a retro desktop computer with a glowing green screen. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
7,The Scout Team,BPA,007_the_scout_team.png,a pair of binoculars with a small football field reflected in the lenses,"Create a single icon image: a pair of binoculars with a small football field reflected in the lenses. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
8,The Opportunist's Gambit,BPA,008_the_opportunists_gambit.png,a chess knight piece mid-leap over other pieces,"Create a single icon image: a chess knight piece mid-leap over other pieces. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
9,The Evaluator,BPA,009_the_evaluator.png,a magnifying glass hovering over a ranked list,"Create a single icon image: a magnifying glass hovering over a ranked list. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
10,The Disciplined,BPA,010_the_disciplined.png,a straight steel ruler aligned perfectly on a draft board,"Create a single icon image: a straight steel ruler aligned perfectly on a draft board. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
11,The Pure Play,BPA,011_the_pure_play.png,a single clean football with no markings other than the laces,"Create a single icon image: a single clean football with no markings other than the laces. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
12,The Robot,BPA,012_the_robot.png,a chrome humanoid robot head with glowing blue eyes,"Create a single icon image: a chrome humanoid robot head with glowing blue eyes. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
290,The Automaton,Zero RB,290_the_automaton.png,a fully mechanical figure with gears visible through a glass chest panel,"Create a single icon image: a fully mechanical figure with gears visible through a glass chest panel. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
13,The Stabilizer,BPA,013_the_stabilizer.png,a gyroscope spinning in perfect balance,"Create a single icon image: a gyroscope spinning in perfect balance. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
14,The Ballast,BPA,014_the_ballast.png,a ship's anchor resting on the seafloor with chain trailing up,"Create a single icon image: a ship's anchor resting on the seafloor with chain trailing up. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
15,The Sleeper,BPA,015_the_sleeper.png,a sleeping fox curled up on a pile of football cards,"Create a single icon image: a sleeping fox curled up on a pile of football cards. STYLE REQUIREMENTS (apply to every icon):
- Semi-realistic with a slight cartoon/game aesthetic — think mobile game achievement badge art
- Rich color, slight 3D depth and shading, clean transparent background
- Centered in frame with consistent padding on all sides (roughly 15% padding from each edge)
- No text of any kind in the image
- Square format, 400x400 pixels
- Consistent lighting: soft top-left light source across all icons
- Consistent level of detail: detailed enough to be recognizable at 80x80px but not cluttered
- Same color saturation and contrast level across all icons
- Transparent background (PNG with alpha channel)"
