Draft Rate Assumptions — Avg Picks Per Round Per Position (12-Team Baseline),,,,,,
"These rates power the scarcity model in Tab 5. Scale = league_size / 12. R1-4: ~50% RB / ~40% WR / ~10% QB+TE. QB cascade: spike in R5-6 after first QB triggers run. TE elite spread across picks 15-35, NOT a cluster. Rows in yellow = QB cascade rounds.",,,,,,
Round,RB /round,WR /round,QB /round,TE /round,DST+K /round,Notes
R1,6,4.8,0.1,0.5,0.6,~50% RB / ~40% WR — almost no QB; rare elite TE (top TE sometimes pick 12-15)
R2,6,4.5,0.2,0.8,0.5,Still RB/WR heavy; 1 elite TE possible (pick 13-24 range)
R3,5.5,4.2,0.5,1.3,0.5,TE elite tail end (pick 25-35); first early QB sometimes here
R4,4.5,3.8,1.5,1.7,0.5,QB run begins — first QB triggers cascade; TE second wave starts
R5,3.5,3.5,2.5,1.8,0.7,★ QB RUN PEAKS — 2nd and 3rd QB follow quickly after first
R6,3,3.2,2.8,1.5,1.5,★ QB CASCADE continues — positions 2 & 3 of QB elite tier
R7,2.5,3,2.5,1.5,2.5,QB run normalizes; WR depth building
R8,2.5,2.8,2,1.5,3.2,Position filling across all slots
R9,2.2,2.5,2,1.2,4.1,Depth building begins
R10,2,2.5,1.8,1,4.7,Mid-draft depth
R11,2,2.2,1.5,0.8,5.5,"Handcuffs, late TE"
R12,1.8,2,1.2,0.8,6.2,Late skill positions
R13,1.5,2,1,0.7,6.8,Streamer QB territory begins
R14,1.5,1.8,1,0.5,7.2,DST/K start appearing
R15,1.2,1.5,0.8,0.4,8.1,DST/K heavy; late fliers
R16,1,1.2,0.6,0.3,8.9,Deep bench / handcuffs
R17,0.8,1,0.5,0.3,9.4,
R18,0.8,1,0.5,0.2,9.5,
R19,0.6,0.8,0.4,0.2,10,
R20,0.6,0.8,0.4,0.2,10,
R21,0.5,0.7,0.3,0.2,10.3,
R22,0.5,0.7,0.3,0.2,10.3,
R23,0.5,0.6,0.3,0.1,10.5,
R24,0.4,0.6,0.2,0.1,10.7,
R25,0.4,0.5,0.2,0.1,10.8,
R26,0.4,0.5,0.2,0.1,10.8,
R27,0.3,0.5,0.2,0.1,10.9,
R28,0.3,0.4,0.2,0.1,11,
R29,0.3,0.4,0.1,0.1,11.1,
R30,0.3,0.4,0.1,0.1,11.1,
,,,,,,
QB CASCADE (yellow rows): First QB triggers panic — next 2 follow within ~10 picks. In larger leagues (16+) this cascade can start in R3-4.,,,,,,
,,,,,,
TE SPREAD: Top 3 TEs go across picks 15-35 (not a cluster). ~1 per round in R1-3 at most. Second wave (TE4-8) comes in R4-8. This is why TE Elite exhausts after R3-4 even with low early rates.,,,,,,
