Strategy,Rule Type,Position,Min Round,Max Round,Count / Operator,Notes / Description
META — SCALING & LEAGUE SIZE,,,,,,
"All round thresholds are calibrated for a 12-team standard single-QB league. To adjust for other league sizes use: adjusted_round = base_round × (12 / league_size), rounded down, minimum 1. Example: Early QB = rounds 1-4 in a 12-team league → rounds 1-2 in a 6-team league, rounds 1-6 in a 24-team league. NOTE: Superflex leagues require separate logic entirely — QB becomes a skill-position-tier asset and all QB thresholds change.",,,,,,
"K and DST are assumed to fill the final 2 rounds of every draft regardless of strategy. Punt QB assumes QB is taken 1-3 rounds before K/DST, typically rounds 11-13 in a 15-round draft.",,,,,,
RB STRATEGIES,,,,,,
BPA (Best Player Available),,,,,,
BPA,Description,—,—,—,—,No intentional positional agenda. Takes highest-ranked available player each round. Distinguisher from Hybrid: BPA distribution varies draft-to-draft with no consistent skill-position preference. Hybrid shows repeated RB+WR dominance in rounds 1-6 across drafts.
BPA,Fuzzy Rule,Any,1,15,No positional dominance,No single position represents more than 50% of picks in rounds 1-8
Hero RB,,,,,,
Hero RB,Hard Rule,RB,1,1,Exactly 1,RB must be selected in round 1 — no exceptions
Hero RB,Hard Rule,RB,2,4,0 (max),No second RB taken before round 5
Hero RB,Fuzzy Rule,RB,5,8,1-2,Second RB typically arrives rounds 5-8
Hero RB,Fuzzy Rule,RB,1,10,2-3 total,Total RB count by round 10 usually 2-3
Robust RB,,,,,,
Robust RB,Hard Rule,RB,1,1,Exactly 1,RB must be selected in round 1
Robust RB,Hard Rule,RB,1,4,3+ (min),At least 3 RBs by end of round 4
Robust RB,Fuzzy Rule,RB,1,8,4-5 total,Total RB count by round 8 usually 4-5. WRs typically deferred to round 5+
Zero RB,,,,,,
Zero RB,Hard Rule,RB,1,6,0 (max),No RB selected before round 7 — no exceptions
Zero RB,Fuzzy Rule,RB,7,10,First RB here,"First RB typically rounds 7-10. WR, QB, or TE dominate rounds 1-6"
Hybrid,,,,,,
Hybrid,Hard Rule,RB,1,6,2+ (min),At least 2 RBs in rounds 1-6
Hybrid,Hard Rule,WR,1,6,2+ (min),At least 2 WRs in rounds 1-6
Hybrid,Hard Rule,RB or WR,1,6,4 (max per position),Neither RB nor WR alone can take more than 4 of the first 6 picks — must be a mix
Hybrid,Fuzzy Rule,RB+WR,1,6,4-6 combined,Rounds 1-6 are predominantly RB and WR. Typical patterns: RB-WR-RB-WR-RB-WR or RB-RB-WR-WR-RB-WR
Hybrid,Fuzzy Rule,QB or TE,1,4,0-1 (opportunistic only),Early QB or TE only if player fell significantly below his ADP — not a planned pick. Player must have been drafted meaningfully later than his consensus ADP position.
