Position	Buffalo Bills	Miami Dolphins	New England Patriots	New York Jets	Baltimore Ravens	Cincinnati Bengals	Cleveland Browns	Pittsburgh Steelers	Houston Texans	Indianapolis Colts	Jacksonville Jaguars	Tennessee Titans	Denver Broncos	Kansas City Chiefs	Las Vegas Raiders	Los Angeles Chargers	Dallas Cowboys	New York Giants	Philadelphia Eagles	Washington Commanders	Chicago Bears	Detroit Lions	Green Bay Packers	Minnesota Vikings	Atlanta Falcons	Carolina Panthers	New Orleans Saints	Tampa Bay Buccaneers	Arizona Cardinals	Los Angeles Rams	San Francisco 49ers	Seattle Seahawks
QB1	Josh Allen	Malik Willis	Drake Maye	Geno Smith	Lamar Jackson	Joe Burrow	Deshaun Watson	Aaron Rodgers	C.J. Stroud	Daniel Jones	Trevor Lawrence	Cam Ward	Bo Nix	Patrick Mahomes	Kirk Cousins	Justin Herbert	Dak Prescott	Jaxson Dart	Jalen Hurts	Jayden Daniels	Caleb Williams	Jared Goff	Jordan Love	Kyler Murray	Michael Penix Jr.	Bryce Young	Tyler Shough	Baker Mayfield	Jacoby Brissett	Matthew Stafford	Brock Purdy	Sam Darnold
QB2	Kyle Allen	Quinn Ewers	Tommy DeVito	Brady Cook	Tyler Huntley	Joe Flacco	Shedeur Sanders	Mason Rudolph	Davis Mills	Anthony Richardson Sr.	Nick Mullens	Mitchell Trubisky	Jarrett Stidham	Justin Fields	Fernando Mendoza	Trey Lance	Joe Milton III	Jameis Winston	Tanner McKee	Marcus Mariota	Tyson Bagent	Teddy Bridgewater	Tyrod Taylor	J.J. McCarthy	Tua Tagovailoa	Kenny Pickett	Spencer Rattler	Jake Browning	Gardner Minshew II	Ty Simpson	Mac Jones	Drew Lock
QB3	Shane Buechele	Cam Miller	Behren Morton	Cade Klubnik	Joe Fagnano	Josh Johnson	Dillon Gabriel	Will Howard	Graham Mertz	Riley Leonard	Carter Bradley	Will Levis	Sam Ehlinger	Garrett Nussmeier	Aidan O'Connell	DJ Uiagalelei	Sam Howell	Brandon Allen	Andy Dalton	Athan Kaliakmanis	Case Keenum	Luke Altmyer	Kyle McCord	Carson Wentz	Trevor Siemian	Will Grier	Zach Wilson	Connor Bazelak	Carson Beck	Stetson Bennett IV	Kurtis Rourke	Jalen Milroe
QB4		Mark Gronowski		Bailey Zappe	Diego Pavia	Sean Clifford	Taylen Green	Drew Allar		Seth Henigan	Joey Aguilar	Hendon Hooker		Chris Oladokun	Jacob Clark				Cole Payton	Sam Hartman	Miller Moss		Kyron Drones	Max Brosmer	Jack Strand	Haynes King		Jalon Daniels	Kedon Slovis	Matthew Caldwell	Adrian Martinez	
RB1	James Cook III	De'Von Achane	Rhamondre Stevenson	Breece Hall	Derrick Henry	Chase Brown	Quinshon Judkins	Jaylen Warren	David Montgomery	Jonathan Taylor	Bhayshul Tuten	Tony Pollard	J.K. Dobbins	Kenneth Walker III	Ashton Jeanty	Omarion Hampton	Javonte Williams	Cam Skattebo	Saquon Barkley	Jacory Croskey-Merritt	D'Andre Swift	Jahmyr Gibbs	Josh Jacobs	Aaron Jones Sr.	Bijan Robinson	Chuba Hubbard	Travis Etienne Jr.	Bucky Irving	Jeremiyah Love	Kyren Williams	Christian McCaffrey	Zach Charbonnet
RB2	Ty Johnson	Jaylen Wright	TreVeyon Henderson	Braelon Allen	Justice Hill	Samaje Perine	Dylan Sampson	Rico Dowdle	Woody Marks	DJ Giddens	Chris Rodriguez Jr.	Tyjae Spears	RJ Harvey	Emmett Johnson	Mike Washington Jr.	Keaton Mitchell	Jaydon Blue	Tyrone Tracy Jr.	Tank Bigsby	Rachaad White	Kyle Monangai	Isiah Pacheco	Chris Brooks	Jordan Mason	Brian Robinson Jr.	Jonathon Brooks	Alvin Kamara	Kenneth Gainwell	Tyler Allgeier	Blake Corum	Jordan James	Jadarian Price
RB3	Ray Davis	Ollie Gordon II	Jam Miller	Isaiah Davis	Rasheen Ali	Tahj Brooks	Raheim Sanders	Kaleb Johnson	Jawhar Jordan	Seth McGowan	LeQuint Allen Jr.	Nicholas Singleton	Jonah Coleman	Emari Demercado	Dylan Laube	Kimani Vidal	Malik Davis	Devin Singletary	Will Shipley	Kaytron Allen	Roschon Johnson	Sione Vaki	MarShawn Lloyd	Demond Claiborne	Tyler Goodson	Trevor Etienne	Devin Neal	Sean Tucker	James Conner	Ronnie Rivers	Kaelon Black	Emanuel Wilson
RB4	Frank Gore	Donovan Edwards	Terrell Jennings	Kene Nwangwu	Adam Randall	Gary Brightwell	Ahmani Marshall	Eli Heidenreich	British Brooks	Ulysses Bentley IV	Ameer Abdullah	Michael Carter	Jaleel McLaughlin	Brashard Smith	Chris Collier	Jaret Patterson	Phil Mafah	Eric Gray	Dameon Pierce	Jerome Ford	Brittain Brown	Jacob Saylors	Pierre Strong Jr.	Zavier Scott	Nathan Carter	AJ Dillon	Kendre Miller	Josh Williams	Trey Benson	Jarquez Hunter	Isaac Guerendo	George Holani
WR1	DJ Moore	Malik Washington	Romeo Doubs	Garrett Wilson	Zay Flowers	Ja'Marr Chase	Jerry Jeudy	DK Metcalf	Nico Collins	Alec Pierce	Brian Thomas Jr.	Carnell Tate	Courtland Sutton	Rashee Rice	Tre Tucker	Ladd McConkey	CeeDee Lamb	Malik Nabers	A.J. Brown	Terry McLaurin	Rome Odunze	Amon-Ra St. Brown	Christian Watson	Justin Jefferson	Drake London	Tetairoa McMillan	Chris Olave	Chris Godwin Jr.	Marvin Harrison Jr.	Puka Nacua	Mike Evans	Jaxon Smith-Njigba
WR2	Keon Coleman	Caleb Douglas	DeMario Douglas	Adonai Mitchell	Ja'Kobi Lane	Tee Higgins	KC Concepcion	Michael Pittman Jr.	Jayden Higgins	Josh Downs	Jakobi Meyers	Wan'Dale Robinson	Jaylen Waddle	Xavier Worthy	Jalen Nailor	Quentin Johnston	George Pickens	Darius Slayton	DeVonta Smith	Luke McCaffrey	Luther Burden III	Jameson Williams	Jayden Reed	Jordan Addison	Jahan Dotson	Jalen Coker	Jordyn Tyson	Emeka Egbuka	Michael Wilson	Davante Adams	Ricky Pearsall	Cooper Kupp
WR3	Khalil Shakir	Jalen Tolbert	Kayshon Boutte	Omar Cooper Jr.	Rashod Bateman	Andrei Iosivas	Denzel Boston	Germie Bernard	Tank Dell	Nick Westbrook-Ikhine	Parker Washington	Calvin Ridley	Troy Franklin	Tyquan Thornton	Jack Bech	Tre' Harris	Ryan Flournoy	Darnell Mooney	Makai Lemon	Antonio Williams	Kalif Raymond	Isaac TeSlaa	Matthew Golden	Jauan Jennings	Olamide Zaccheaus	Xavier Legette	Devaughn Vele	Jalen McMillan	Kendrick Bourne	Jordan Whittington	Christian Kirk	Rashid Shaheed
WR4	Skyler Bell	Chris Bell	Kyle Williams	Tim Patrick	Elijah Sarratt	Colbie Young	Cedric Tillman	Roman Wilson	Xavier Hutchinson	Ashton Dulin	Travis Hunter	Elic Ayomanor	Pat Bryant	Jalen Royals	Dont'e Thornton Jr.	Brenen Thompson	KaVontae Turpin	Calvin Austin III	Dontayvion Wicks	Treylon Burks	Zavion Thomas	Greg Dortch	Savion Williams	Tai Felton	Zachariah Branch	Chris Brazzell II	Mason Tipton	Ted Hurst	Xavier Weaver	Konata Mumpfield	De'Zhaun Stribling	Tory Horton
WR5	Joshua Palmer	Tutu Atwell	Mack Hollins	Isaiah Williams	Devontez Walker	Mitchell Tinsley	Isaiah Bond	Ben Skowronek	Jaylin Noel	Deion Burks	Josh Cameron	Chimere Dike	Marvin Mims Jr.	Cyrus Allen	Malik Benson	KeAndre Lambert-Smith	Marquez Valdes-Scantling	Malachi Fields	Hollywood Brown	Dyami Brown	Jahdae Walker	Kendrick Law	Bo Melton	Jeshaun Jones	Casey Washington	Jimmy Horn Jr.	Bryce Lance	Tez Johnson	Devin Duvernay	CJ Daniels	Demarcus Robinson	Jake Bobo
WR6	Mecole Hardman Jr.	Kevin Coleman Jr.	Efton Chism III	Arian Smith	LaJohntay Wester	Charlie Jones	Tylan Wallace	Kaden Wetjen	Justin Watson	Anthony Gould	CJ Williams	Bryce Oliver	Lil'Jordan Humphrey	Nikko Remigio	Dareke Young	Derius Davis	Jonathan Mingo	Isaiah Hodgins	Elijah Moore	Jaylin Lane	Scotty Miller	Cedrick Wilson Jr.	Skyy Moore	Myles Price	Dylan Drummond	John Metchie III	Barion Brown	Kameron Johnson	Reggie Virgil	Xavier Smith	Jordan Watkins	Emmanuel Henderson Jr.
