rank,player_id,name,position,team_db
1,3608623b-2697-4987-b7df-14c8e6f57427,Jahmyr Gibbs,RB,DET
2,6628a784-a97f-4f32-9572-bfb702cf3b92,Bijan Robinson,RB,ATL
3,951ac7a7-23b7-47a0-b821-7e9176efb219,Puka Nacua,WR,LAR
4,bcb72830-42e2-4479-9df2-b167bfe632d1,Christian McCaffrey,RB,SF
5,f9ddb2e3-27d0-442e-9c04-d9fefe26d063,Jonathan Taylor,RB,IND
6,da964bd8-a38e-40b3-9e87-53645075cd5a,Ja'Marr Chase,WR,CIN
7,42136d66-59f9-4042-b77c-3947aaa07070,Jaxon Smith-Njigba,WR,SEA
8,7306ad06-72ba-423c-8097-175695df7627,James Cook III,RB,BUF
9,4d9109c8-00f1-403d-a7b8-58ec63767391,Justin Jefferson,WR,MIN
10,d74a3d98-64a8-4a9f-b8cf-e40690f2b77e,Amon-Ra St. Brown,WR,DET
11,c491a726-ae0b-4571-96cf-21945db8ccd2,De'Von Achane,RB,MIA
12,27a9dd7c-4887-48d6-9615-8285b790f0cb,Drake London,WR,ATL
13,4d4a1cce-ebd8-42fd-9e5a-cd70abbc0a18,Ashton Jeanty,RB,LV
14,b128b041-cfb9-4c74-84cf-4c50b42dacc6,CeeDee Lamb,WR,DAL
15,74be117e-0372-40ec-b2ab-5e4582b50b61,Kenneth Walker III,RB,KC
16,6a89f13b-4ad6-4295-93d4-453bbb3326ad,Trey McBride,TE,ARI
17,7e89f2aa-3347-40b6-afac-c3df34c23291,Nico Collins,WR,HOU
18,11e4e622-8ef6-471b-9e19-6b4a09feb216,Malik Nabers,WR,NYG
19,53077ee0-d90b-450e-a318-cf6a2ff37157,Josh Jacobs,RB,GB
20,7fbc7083-512f-4f7a-8978-be7e97b16900,Brock Bowers,TE,LV
21,7ecaf216-b49d-4113-ad86-6d662b80a8b5,Josh Allen,QB,BUF
22,b1dcfc5b-c819-4de9-bb99-c025e35720ce,Chase Brown,RB,CIN
23,ced8977c-8f55-47f5-a254-78d3d5ecb1d5,Rashee Rice,WR,KC
24,f56fe663-4b33-4413-8ca7-51aef573b102,Saquon Barkley,RB,PHI
25,e76a975a-959f-4aec-a938-558f82011c3a,A.J. Brown,WR,PHI
26,20bfe962-eb12-4bfa-87dc-8c171ae20908,Derrick Henry,RB,BAL
27,f85ebeb8-cecf-46fc-9638-3ac0674d7e9d,Jeremiyah Love,RB,ARI
28,8f3a3e1b-d9fd-43ba-9ff1-adee245b7fd6,Chris Olave,WR,NO
29,1c5ab965-aff4-4cf5-a0ec-c4db16677e40,Tetairoa McMillan,WR,CAR
30,d1b73835-0b18-4f66-ae59-0f8b942990d6,Kyren Williams,RB,LAR
